date,price,volume
2001-05-18,97.25,1977200
2001-05-21,101.9,2332600
2001-05-22,103.3,2288500
2001-05-23,99.3,3134600
2001-05-24,99.85,1817000
2001-05-25,97.96,1234800
2001-05-29,96.88,2251400
2001-05-30,94.76,2355000
2001-05-31,95.1,1893200
2001-06-01,96.7,1920900
2001-06-04,96.51,1198400
2001-06-05,97.35,1376800
2001-06-06,95.54,1962000
2001-06-07,96.9,1536900
2001-06-08,95.36,924900
2001-06-11,92.01,2673700
2001-06-12,91.86,2592500
2001-06-13,89.16,2178300
2001-06-14,87.01,2714200
2001-06-15,89.29,3025300
2001-06-18,88.65,1799400
2001-06-19,88.18,4292900
2001-06-20,88.4,3849500
2001-06-21,93,3880900
2001-06-22,92.1,2606300
2001-06-25,90.95,1260700
2001-06-26,90.3,3260600
2001-06-27,87.5,3496800
2001-06-28,86.6,3007200
2001-06-29,85.8,4347900
2001-07-02,84.6,2441400
2001-07-03,84,1789700
2001-07-05,84,2055300
2001-07-06,83.1,2206600
2001-07-09,81.91,2765400
2001-07-10,81.6,2444600
2001-07-11,81.6,2863700
2001-07-12,86.55,3151600
2001-07-13,86.15,1880300
2001-07-16,83.4,2713000
2001-07-17,85.85,2687400
2001-07-18,84,2376100
2001-07-19,83,2470600
2001-07-20,82.95,2190000
2001-07-23,81.74,3210700
2001-07-24,81.85,2487700
2001-07-25,83.2,1863500
2001-07-26,84.64,2567400
2001-07-27,84.82,1770100
2001-07-30,82.69,2174700
2001-07-31,83.16,2308100
2001-08-01,85.35,2082200
2001-08-02,86.3,2010800
2001-08-03,85.5,1420400
2001-08-06,83.95,1228500
2001-08-07,83.54,1744000
2001-08-08,81.8,1921200
2001-08-09,80.05,3954300
2001-08-10,80.8,2591000
2001-08-13,82.2,2396800
2001-08-14,81.3,2258600
2001-08-15,81.85,2309300
2001-08-16,81.1,2545200
2001-08-17,77.25,4275400
2001-08-20,77.84,2560400
2001-08-21,75.4,3768800
2001-08-22,77.5,4084400
2001-08-23,77.7,2108800
2001-08-24,81.3,2903600
2001-08-27,81.9,2368800
2001-08-28,81.05,3512900
2001-08-29,80.8,2578800
2001-08-30,79.61,3152600
2001-08-31,80.1,2008900
2001-09-04,79.62,2620700
2001-09-05,78.55,3372100
2001-09-06,77.1,2891400
2001-09-07,74.48,3726700
2001-09-10,76.2,2558900
2001-09-17,69.4,5765800
2001-09-18,67.5,3562500
2001-09-19,67.51,5888500
2001-09-20,65.75,3923900
2001-09-21,67.69,5421300
2001-09-24,70.51,3071100
2001-09-25,70.03,3666700
2001-09-26,69.85,4862800
2001-09-27,68.9,4743900
2001-09-28,71.35,3247900
2001-10-01,73.5,3606900
2001-10-02,73.6,3034600
2001-10-03,76.69,3492500
2001-10-04,79,6241700
2001-10-05,76.25,5424500
2001-10-08,75.3,3023300
2001-10-09,77.93,2759300
2001-10-10,80.71,3811500
2001-10-11,83.85,6393700
2001-10-12,82.8,3623000
2001-10-15,84.4,3382300
2001-10-16,84.25,3315600
2001-10-17,82.07,3978900
2001-10-18,81.41,3086300
2001-10-19,79.75,3832200
2001-10-22,81.6,4297200
2001-10-23,81.6,2332100
2001-10-24,80.5,2523500
2001-10-25,81.4,3672800
2001-10-26,83.12,2734200
2001-10-29,80.85,2224900
2001-10-30,80.05,2467000
2001-10-31,78.16,3360800
2001-11-01,80.7,3166800
2001-11-02,82.25,2721800
2001-11-05,84.71,3141900
2001-11-06,86.5,3426500
2001-11-07,87.5,3268700
2001-11-08,86.7,2934000
2001-11-09,86.86,1373300
2001-11-12,88.1,2217300
2001-11-13,91.05,3791200
2001-11-14,91.5,3968800
2001-11-15,88.7,4265000
2001-11-16,87.75,2354900
2001-11-19,90.55,2483500
2001-11-20,89.75,1912900
2001-11-21,88.15,1806400
2001-11-23,90.15,837500
2001-11-26,91.44,1847400
2001-11-27,90,2477900
2001-11-28,86.81,3780000
2001-11-29,89.35,3860100
2001-11-30,89,2567900
2001-12-03,86.01,2880100
2001-12-04,87.17,2795000
2001-12-05,92.4,4415900
2001-12-06,93.9,4878900
2001-12-07,91.61,3220700
2001-12-10,91.35,1429700
2001-12-11,91.82,2705000
2001-12-12,92.73,2383700
2001-12-13,91,2442800
2001-12-14,89.66,3337900
2001-12-17,89.14,2026800
2001-12-18,90.8,2279700
2001-12-19,94.41,4382000
2001-12-20,92.31,3428700
2001-12-21,92.31,2180000
2001-12-24,92.47,758000
2001-12-26,92.8,1253200
2001-12-27,92.12,1705200
2001-12-28,93.27,1392600
2001-12-31,92.75,1228700
2002-01-02,91.07,3592600
2002-01-03,92.45,2645700
2002-01-04,96.75,5745900
2002-01-07,95.75,3136700
2002-01-08,92.5,5830800
2002-01-09,93.75,5142100
2002-01-10,93,3104600
2002-01-11,91.15,3635000
2002-01-14,89.97,3127400
2002-01-15,89.9,2779700
2002-01-16,88.63,3356600
2002-01-17,89.86,3029000
2002-01-18,89.21,2703600
2002-01-22,86.98,3138900
2002-01-23,87.25,3026600
2002-01-24,85.5,4284200
2002-01-25,87.3,4547500
2002-01-28,87.85,2791500
2002-01-29,84.48,5562400
2002-01-30,86,6734500
2002-01-31,86.98,4017700
2002-02-01,85.4,2869400
2002-02-04,82.5,4878400
2002-02-05,81.04,3495300
2002-02-06,81.9,4392100
2002-02-07,81.11,4107300
2002-02-08,83.8,3830700
2002-02-11,84.85,2537800
2002-02-12,83.5,2249600
2002-02-13,84.58,2525500
2002-02-14,85.11,3575400
2002-02-15,82.76,3673000
2002-02-19,78.45,6216300
2002-02-20,80.6,5059900
2002-02-21,79.47,3944600
2002-02-22,79,4342500
2002-02-25,81.96,3690900
2002-02-26,81.4,2792900
2002-02-27,80.89,3410600
2002-02-28,80.94,2704600
2002-03-01,83.47,3703200
2002-03-04,89.1,4760300
2002-03-05,89.52,4597900
2002-03-06,90.87,5212700
2002-03-07,89.96,3274000
2002-03-08,90.29,3537500
2002-03-11,90.7,2281900
2002-03-12,89.8,2705200
2002-03-13,88,2817500
2002-03-14,88.4,1857100
2002-03-15,90,1905900
2002-03-18,89.2,2595300
2002-03-19,91.05,3836000
2002-03-20,89.85,2511600
2002-03-21,90.35,2097700
2002-03-22,89.73,2064000
